Column1,Column2
1961,2209.14
1962,2282.54
1963,2493.35
1964,2556.66
1965,2652.72
1966,2854.50
1967,2886.13
1968,2908.50
1969,2972.71
1970,2972.64
1971,2978.70
1972,3021.63
1973,3080.88
1974,3094.43
1975,3083.47
1976,3074.32
1977,3074.26
1978,3092.14
1979,3091.62
1980,3081.16
1981,3071.43
1982,3046.81
1983,3039.94
1984,3014.77
1985,2987.46
1986,2976.64
1987,2958.75
1988,2939.76
1989,2921.92
1990,2896.25
1991,2873.13
1992,2846.52
1993,2821.24
1994,2799.59
1995,2769.57
1996,2736.92
1997,2703.62
1998,2669.83
1999,2637.50
2000,2612.03
2001,2585.44
2002,2561.40
2003,2539.09
2004,2517.03
2005,2494.52
2006,2471.35
2007,2447.92
2008,2424.72
2009,2402.38
2010,2381.36
2011,2361.70
2012,2343.20
2013,2325.75
2014,2309.16
2015,2293.29
2016,2278.11
2017,2263.62
2018,2249.70
2019,2236.24
